client	client_entities_total	bank	entities_at_bank	accounts_at_bank	active_accounts_at_bank	tx_last_90d
Crecer	2	Banesco	2	6	6	435
Crixto Venezuela	1	Bancaribe	1	2	1	3773
Cruz Roja	1	Banesco	1	11	8	4351
Cruz Roja	1	Mercantil	1	9	4	182
Curiara	1	Mercantil	1	1	1	351
Curiara	1	Bancaribe	1	1	0	0
Dimassi	1	Banesco	1	2	0	0
Dimassi	1	Bancaribe	1	2	0	0
Disbattery Lubricantes S.A	1	Banesco	1	2	2	883
Empresas Tapa Amarilla	2	Banesco	2	2	2	4569
EOODI	4	Banesco	4	13	12	5785
Estar Seguros, S.A.	1	Banesco	1	1	1	4457
Estar Seguros, S.A.	1	Mercantil	1	2	2	19280
EUROMERCADO C.A.	2	Banesco	2	9	1	815
EUROMERCADO C.A.	2	Mercantil	1	1	0	0
EWAY	1	Banesco	1	2	0	0
FARMABIEN	1	Banesco	1	6	4	24004
FARMABIEN	1	Mercantil	1	13	12	97627
Farmacias San Ignacio	59	Banesco	59	71	57	110143
FIVENCA	5	Banesco	1	2	2	17
FIVENCA	5	Mercantil	4	6	6	330
FIVENCA	5	Bancaribe	3	3	3	27
FLETY	2	Banesco	2	4	2	755
FLETY	2	Bancaribe	1	2	0	0
goliiive	1	Mercantil	1	6	0	0
Granos Sagrados	1	Banesco	1	1	0	0
Grupo Abreu	19	Banesco	19	51	36	167878
Grupo Abreu	19	Bancaribe	19	31	31	155392
Grupo Ama de casa	2	Banesco	1	6	5	1602
Grupo Ama de casa	2	Mercantil	1	3	1	397
Grupo Ama de casa	2	Bancaribe	1	1	1	13
Grupo Avila	1	Banesco	1	1	0	0
GRUPO BAZZI	2	Banesco	2	4	2	355
Grupo Canaima	176	Banesco	176	178	0	0
Grupo Canaima	176	Mercantil	1	1	0	0
Grupo cashea	1	Banesco	1	4	3	13676
Grupo cashea	1	Mercantil	1	5	3	242
Grupo cashea	1	Bancaribe	1	3	2	57
Grupo Del Este	4	Banesco	4	4	4	3882
Grupo Del Este	4	Mercantil	3	3	3	370
GRUPO DINAMO	3	Banesco	3	7	3	2503
GRUPO DINAMO	3	Mercantil	3	6	3	207
GRUPO FUTURA	5	Banesco	2	4	0	0
GRUPO FUTURA	5	Mercantil	5	48	0	0
Grupo Gipsy	16	Banesco	1	1	1	33
Grupo Gipsy	16	Mercantil	16	35	20	6746
Grupo Landa	8	Banesco	5	10	5	5556
Grupo Landa	8	Mercantil	8	21	16	6265
Grupo Landa	8	Bancaribe	4	9	8	795
Grupo Leiros	13	Banesco	13	15	15	10454
Grupo Leiros	13	Mercantil	1	1	1	646
GRUPO MAR	1	Mercantil	1	1	0	0
Grupo Maralac	4	Banesco	4	5	4	3384
Grupo Maralac	4	Mercantil	1	1	1	222
Grupo Mimesa	3	Banesco	3	9	3	3614
Grupo Mimesa	3	Bancaribe	1	3	2	89
GRUPO MOLINA VIAJES	2	Banesco	1	2	1	613
GRUPO MOLINA VIAJES	2	Mercantil	2	6	5	1241
Grupo NSM	14	Banesco	5	6	5	2097
Grupo NSM	14	Bancaribe	13	20	15	5040
Grupo Nueve Once	2	Banesco	2	4	2	4447
Grupo Nueve Once	2	Mercantil	1	2	1	385
Grupo Parawa	4	Banesco	2	4	2	425
Grupo Parawa	4	Mercantil	4	8	0	0
Grupo Quo Vadis	1	Banesco	1	2	2	1358
Grupo Quo Vadis	1	Mercantil	1	3	3	1662
Grupo Quo Vadis	1	Bancaribe	1	2	2	208
Grupo Ramvall	5	Banesco	5	6	6	2864
Grupo Ramvall	5	Mercantil	4	8	5	1129
Grupo traki	1	Banesco	1	4	1	1855
Grupo UP	3	Banesco	3	15	14	38943
Grupo Velutini	9	Banesco	9	25	16	745
Grupo Vertice	10	Mercantil	10	15	10	1119
Grupoforum	26	Mercantil	26	32	0	0
Gruporica	2	Mercantil	2	33	20	58321
herramientas sbdk	1	Banesco	1	2	1	803
herramientas sbdk	1	Bancaribe	1	2	0	0
Hispana de Seguros	1	Banesco	1	1	0	0
Hispana de Seguros	1	Mercantil	1	1	0	0
INQUIPORT	1	Bancaribe	1	2	1	60
INVERSIONES PAD 21	8	Banesco	6	13	9	13245
INVERSIONES PAD 21	8	Mercantil	5	10	5	25948
INVERSIONES PAD 21	8	Bancaribe	5	18	10	931
KAIZEN	10	Mercantil	10	10	10	6956
Koopex	1	Banesco	1	1	0	0
La Sante	1	Banesco	1	2	1	370
La Sante	1	Bancaribe	1	1	0	0
Laboratorios Biotech	1	Banesco	1	1	1	1236
Laboratorios Biotech	1	Mercantil	1	3	3	1439
Laboratorios Elmor	1	Banesco	1	3	1	54
Laboratorios Elmor	1	Mercantil	1	2	2	801
Laboratorios Elmor	1	Bancaribe	1	2	2	325
LABORATORIOS KIMICEG C.A	1	Mercantil	1	1	1	871
LABORATORIOS KIMICEG C.A	1	Bancaribe	1	2	2	193
MangoCenter, C.A.	1	Banesco	1	1	1	5616
MangoCenter, C.A.	1	Mercantil	1	1	1	426
Marambio Rivillo Perez Pineda	1	Banesco	1	2	1	40
MARCAS PROPIAS	2	Banesco	2	4	3	17652
MARCAS PROPIAS	2	Mercantil	2	13	9	2492
Maxy Sweet	5	Banesco	5	8	7	7681
Maxy Sweet	5	Mercantil	4	10	4	3405
Megalabs	1	Banesco	1	3	1	3562
Megalabs	1	Mercantil	1	2	1	825
MOTASA	3	Mercantil	3	5	4	1915
NETUNO	3	Banesco	1	8	8	165055
NETUNO	3	Mercantil	3	10	10	205893
NETUNO	3	Bancaribe	1	7	4	10820
Noordzee Fantasie Luxury Group	1	Banesco	1	2	1	1903
Noordzee Fantasie Luxury Group	1	Mercantil	1	2	2	41
PASTCA	1	Banesco	1	2	1	3750
PASTCA	1	Mercantil	1	2	2	2140
PASTCA	1	Bancaribe	1	3	2	507
Pharmakum	2	Mercantil	2	4	3	901
Pharmakum	2	Bancaribe	1	2	1	8
PINECO	4	Banesco	4	4	4	4041
PINECO	4	Mercantil	1	1	1	126
PLAN B	23	Banesco	15	18	13	5586
PLAN B	23	Bancaribe	22	22	22	1701
Prevaler	1	Mercantil	1	3	1	996
Procesadora Marsoca	3	Banesco	2	2	2	1880
Procesadora Marsoca	3	Mercantil	2	3	2	5787
Procesadora Marsoca	3	Bancaribe	3	8	4	357
Protinal	11	Banesco	1	2	1	1089
Protinal	11	Mercantil	11	24	13	9479
Protinal	11	Bancaribe	2	4	1	47
Real Seguros S.A.	1	Banesco	1	2	1	524
Real Seguros S.A.	1	Mercantil	1	1	1	7
Real Seguros S.A.	1	Bancaribe	1	4	4	1687
ROBUST TIRES Finanzas Corporativas	1	Mercantil	1	1	0	0
Sanu Corp	2	Banesco	1	2	1	203
Sanu Corp	2	Mercantil	2	5	1	46
SEGVEN	1	Banesco	1	2	1	711
SEGVEN	1	Mercantil	1	3	3	1585
SEGVEN	1	Bancaribe	1	11	10	1491
Sizuca	1	Banesco	1	2	2	711
Sizuca	1	Mercantil	1	5	4	1317
Socado Coffee Bar	1	Banesco	1	2	1	182
Socado Coffee Bar	1	Mercantil	1	10	7	4593
Soluciones Tu Gruero	1	Banesco	1	2	1	6049
Somos Jomi C.A	1	Banesco	1	2	1	90
Supermercados Luxor, C.A.	9	Mercantil	9	19	0	0
Supermercados Rio Vida	3	Banesco	3	7	5	117208
Supermercados Rio Vida	3	Mercantil	1	3	2	10600
Supermercados Rio Vida	3	Bancaribe	1	3	2	4583
suvica	2	Banesco	2	4	2	3092
suvica	2	Mercantil	1	3	1	879
TAMAYO & CIA.,S.A.	2	Banesco	1	1	1	920
TAMAYO & CIA.,S.A.	2	Mercantil	2	3	3	422
TAMAYO & CIA.,S.A.	2	Bancaribe	1	2	2	49
Tealca	1	Banesco	1	3	3	1749
Tealca	1	Mercantil	1	3	3	4793
Tealca	1	Bancaribe	1	2	2	2992
Tendencia Virtual	1	Banesco	1	2	1	17
Tesote Developer	1	Banesco	1	6	1	12
Tesote Developer	1	Mercantil	1	7	0	0
Tesote Ventas	1	Banesco	1	2	1	94
Tesote Ventas	1	Mercantil	1	2	1	766
Tesote Ventas	1	Bancaribe	1	2	1	69
TORONDOY	2	Banesco	1	3	2	1813
TORONDOY	2	Mercantil	2	7	2	184
TORONDOY	2	Bancaribe	1	3	2	83
Valles del Turbio	2	Banesco	1	2	1	175
Valles del Turbio	2	Mercantil	2	5	3	1028
Valles del Turbio	2	Bancaribe	1	3	2	114
Victum Legal	1	Mercantil	1	1	0	0
VIVA SUPERCENTRO	1	Banesco	1	3	1	2478
VIVA SUPERCENTRO	1	Mercantil	1	3	2	2910
Welf	1	Mercantil	1	2	0	0
Yummy	3	Banesco	2	5	3	5736
Yummy	3	Mercantil	2	5	2	335
Yummy	3	Bancaribe	3	6	3	28
